0.000000 49422
7.919981 5829
15.839962 13662
23.759943 19735
31.679924 22100
39.599907 14590
47.519886 9907
55.439865 7256
63.359848 5046
71.279831 3627
79.199814 3082
87.119789 2477
95.039772 1716
102.959755 1403
110.879730 1123
118.799713 825
126.719696 538
134.639679 439
142.559662 339
150.479645 311
158.399628 236
166.319595 255
174.239578 210
182.159561 222
190.079544 176
197.999527 159
205.919510 150
213.839493 134
221.759460 131
229.679443 108
237.599426 93
245.519409 93
253.439392 99
261.359375 75
269.279358 81
277.199341 84
285.119324 69
293.039307 70
300.959290 67
308.879272 87
316.799255 55
324.719208 96
332.639191 83
340.559174 98
348.479156 90
356.399139 97
364.319122 107
372.239105 80
380.159088 85
388.079071 88
395.999054 102
403.919037 101
411.839020 79
419.759003 86
427.678986 101
435.598969 69
443.518921 85
451.438904 64
459.358887 59
467.278870 48
475.198853 54
483.118835 33
491.038818 42
498.958801 43
506.878784 31
514.798767 32
522.718750 25
530.638733 14
538.558716 10
546.478699 3
554.398682 7
562.318665 6
570.238647 3
578.158630 4
586.078613 7
593.998596 9
601.918579 1
609.838562 3
617.758545 3
625.678528 3
633.598511 4
641.518433 9
649.438416 6
657.358398 8
665.278381 5
673.198364 14
681.118347 11
689.038330 8
696.958313 8
704.878296 8
712.798279 14
720.718262 21
728.638245 16
736.558228 13
744.478210 8
752.398193 5
760.318176 4
768.238159 2
776.158142 1
784.078125 1
